Name,Abbrev,Population,Land (sq mi),GDP (millions)
Alabama,AL,5073187,50645.33,275396
Alaska,AK,738023,570640.95,64257
Arizona,AZ,7303398,113594.08,453602
Arkansas,AR,3030646,52035.48,163779
California,CA,39995077,155779.22,3558512
Colorado,CO,5922618,103641.89,480828
Connecticut,CT,3612314,4842.36,317907
Delaware,DE,1008350,1948.54,86673
Florida,FL,22085563,53624.76,1371468
Georgia,GA,10916760,57513.49,747535
Hawaii,HI,1474265,6422.63,96979
Idaho,ID,1893410,82643.12,108438
Illinois,IL,12808884,55518.93,1024019
Indiana,IN,6845874,35826.11,452422
Iowa,IA,3219171,55857.13,230104
Kansas,KS,2954832,81758.72,209272
Kentucky,KY,4539130,39486.34,258293
Louisiana,LA,4682633,43203.90,281047
Maine,ME,1369159,30842.92,83514
Maryland,MD,6257958,9707.24,465635
Massachusetts,MA,7126375,7800.06,679122
Michigan,MI,10116069,56538.90,615408
Minnesota,MN,5787008,79626.74,442528
Mississippi,MS,2960075,46923.27,138156
Missouri,MO,6188111,68741.52,386397
Montana,MT,1103187,145545.80,64757
Nebraska,NE,1988536,76824.17,161260
Nevada,NV,3185426,109781.18,213410
New Hampshire,NH,1389741,8952.65,104172
New Jersey,NJ,9388414,7354.22,737654
New Mexico,NM,2129190,121298.15,122359
New York,NY,20365879,47126.40,2034912
North Carolina,NC,10620168,48617.91,723163
North Dakota,ND,800394,69000.80,74745
Ohio,OH,11852036,40860.69,817627
Oklahoma,OK,4000953,68594.92,242303
Oregon,OR,4318492,95988.01,294325
Pennsylvania,PA,13062764,44742.70,915424
Rhode Island,RI,1106341,1033.81,70759
South Carolina,SC,5217037,30060.70,292932
South Dakota,SD,901165,75811.00,67489
Tennessee,TN,7023788,41234.90,469938
Texas,TX,29945493,261231.71,2354455
Utah,UT,3373162,82169.62,245831
Vermont,VT,646545,9216.66,40249
Virginia,VA,8757467,39490.09,642755
Washington,WA,7901429,66455.52,717336
West Virginia,WV,1781860,24038.21,96724
Wisconsin,WI,5935064,54157.80,398850
Wyoming,WY,579495,97093.14,48044
